date,variant,ticker,event,score,z_prev,sell_pct,sold_shares,proceeds_net,trade_cost,settle_dt
2022-03-22,C1,ZIM,rebalance_sell,,,1.0,1,77.26068000000001,0.01932,2022-03-23
2022-03-23,C1,GLNG,rebalance_sell,,,1.0,1,21.51462,0.00538,2022-03-24
2022-03-23,C1,MARPS,rebalance_sell,,,1.0,1,13.126717500000002,0.0032825000000000003,2022-03-24
2022-03-24,C1,AMPY,rebalance_sell,,,1.0,1265,7980.1544625,1.9955375,2022-03-25
2022-03-24,C1,NVOS,rebalance_sell,,,1.0,2640,6651.1368,1.6631999999999998,2022-03-25
2022-03-25,C1,AMPY,rebalance_sell,,,1.0,1,6.3084225,0.0015775,2022-03-28
2022-03-25,C1,NVOS,rebalance_sell,,,1.0,1,2.299425,0.000575,2022-03-28
2022-03-25,C1,TRVI,rebalance_sell,,,1.0,3614,7587.50265,1.89735,2022-03-28
2022-03-28,C1,ATI,rebalance_sell,,,1.0,13,352.0819575,0.08804250000000001,2022-03-29
2022-03-28,C1,UAN,rebalance_sell,,,1.0,35,4899.474825000001,1.2251750000000001,2022-03-29
2022-03-29,C1,ATI,rebalance_sell,,,1.0,2,52.966755,0.013245,2022-03-30
2022-03-30,C1,GTE,rebalance_sell,,,1.0,5133,8416.015469999998,2.10453,2022-03-31
2022-03-30,C1,LXU,rebalance_sell,,,1.0,421,8901.9239625,2.2260375,2022-03-31
2022-03-31,C1,LXU,rebalance_sell,,,1.0,1,21.83454,0.0054600000000000004,2022-04-01
2022-04-04,C1,HP,rebalance_sell,,,1.0,121,5418.2351025,1.3548975,2022-04-05
2022-04-04,C1,TRVI,rebalance_sell,,,1.0,3691,7269.452182499999,1.8178174999999999,2022-04-05
2022-04-05,C1,TRVI,rebalance_sell,,,1.0,4,7.1982,0.0018000000000000002,2022-04-06
2022-04-06,C1,IMTE,defensive_sell,6.0,-2.366457189165577,1.0,496,10175.37552,2.54448,2022-04-07
2022-04-06,C1,KOS,rebalance_sell,,,1.0,552,4271.411880000001,1.0681200000000002,2022-04-07
2022-04-07,C1,EGY,rebalance_sell,,,1.0,1,7.2881775,0.0018225000000000001,2022-04-08
2022-04-08,C1,EOLS,rebalance_sell,,,1.0,5,56.185950000000005,0.014050000000000002,2022-04-11
2022-04-08,C1,GLNG,rebalance_sell,,,1.0,327,8042.188950000002,2.0110500000000004,2022-04-11
2022-04-08,C1,PDS,rebalance_sell,,,1.0,115,8921.769,2.231,2022-04-11
2022-04-08,C1,RES,rebalance_sell,,,1.0,1066,12490.39662,3.12338,2022-04-11
2022-04-08,C1,SMHI,rebalance_sell,,,1.0,1033,8117.350155000001,2.0298450000000003,2022-04-11
2022-04-11,C1,PDS,rebalance_sell,,,1.0,1,75.90102,0.01898,2022-04-12
2022-04-12,C1,INDO,rebalance_sell,,,1.0,493,7688.877300000001,1.9227000000000003,2022-04-13
